"Data","ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
2006-01-01,14.919631817,2.5930851063,26.820758908,28.567660209,26.895734597,-6.7594215029,18.892858934,12.562534741,4.7368421052,6.0606060606,21.666666667,3.7209302325,22.13740458,18.474226804,21.621621622,19.4051067,-2.8664495114,26.691176471,28.030509398,17.197452229,29.204771372,7.4363601498,35.294117647,33.027455425,18.52356021,14.727245553
2006-02-01,7.5911536162,1.101749838,-1.5067572523,0.72582647445,4.6994016202,7.1680376028,2.2897897898,15.061728395,13.040201005,11.071428571,-5.7077625572,11.787315823,3.0039904088,4.7398466937,2.7777777777,2.2641003887,34.004024145,-5.9779454441,-4.7872340426,-7.0108695652,4.0802980862,1.8987341771,5.4347826086,-3.1945788965,-7.7215301705,0.59402845091
2006-03-01,-1.0035727003,5.6310178124,-12.63761787,-11.112963774,0.92744135291,-11.622807017,-9.4036697248,-6.9098712446,8.3574127584,2.786709539,-5.4721549637,5.4441260743,-0.81632653064,-0.7903144442,1.4122034594,-5.6945696467,-25.375375375,-4.1152263374,-3.5977653632,11.630625365,6.4279011574,5.8385093167,-1.3841333635,16.920635093,1.1010052656,-1.7068117068
2006-04-01,6.5610488169,5.1344743277,2.3180045797,2.7433142845,11.150469906,-7.8949607789,1.8126582279,7.7616974209,23.595862979,20.022549052,-0.1024590163,-2.7180031089,11.296296296,9.0423728814,2.1413276232,2.8510691509,7.4446680081,10.900556812,8.6972611276,6.8062827224,7.7149155033,0.44600938963,7.7283372368,-0.93457943922,2.4870590178,6.3555637533
2006-05-01,6.1441305448,-2.1046511628,-2.1910354699,-12.020503756,-7.3371805441,-3.9455782312,-9.6535496133,-17.030567686,-28.189712759,-25.547445255,-2.8205128205,-0.63916327699,-10.469033641,-6.2391144214,-7.7631293691,-8.0211627343,-16.978776529,-3.0974318761,-4.8237075493,1.8553793945,-5.0080137303,-5.8308483452,-20.108695652,-5.0314465409,-1.5137357504,-9.496320888
2006-06-01,0.90909090904,-4.2380338328,-8.5457677435,-3.2375966782,-11.067615658,-5.8781869689,5.1534585433,7.3684210527,9.3023255815,10.049019607,5.3310838848,0.58479532163,1.71875,0.7556675062,-0.65527823763,4.3389113036,9.0225563908,-2.0837548048,-1.8636363636,-0.34448818888,4.5103395687,3.9999999999,10.204081632,2.8476821193,-0.79696394678,0.27374760466
2006-07-01,-8.4084084085,-1.87625,6.7261291655,8.1643744343,-0.16006402548,-14.973664409,2.9494538261,7.5980392157,-2.5531914896,-2.8953229399,-7.0707070708,-0.58139534885,4.4546850999,1.2499999999,3.2110091743,5.5076415754,3.1724137931,3.2024793389,3.9833256136,7.1604938272,0.28776978415,-2.5641025641,1.2345679012,-3.4127495172,-3.3091048203,1.2203112203
2006-08-01,0.66551087748,7.6459572732,-2.1619676465,-4.4713968114,0.072453999383,23.451327434,-5.9011164275,5.0113895217,2.1834061137,-1.8348623853,14.076086956,16.832939112,-7.997457688,-4.8953138716,1.1039157767,-2.5625088731,5.1470588236,-4.8648648649,-4.2316258352,8.3041474654,-8.511308421,6.5789473685,-1.2195121951,-10.373333333,-9.0009891197,-2.2790409149
2006-09-01,-1.6393442623,4.677280266,3.513455619,3.6197895808,-1.0416666667,-3.0107526883,-3.615819209,6.2906724512,2.5641025639,5.1401869157,2.2800121855,-8.8082901554,-5.5250403879,-4.9210526316,-0.96962334173,0.95214465146,0.44500953609,-4.5664983165,-5.6046511628,10.620372734,-0.95846645363,0.91358024692,16.049382716,-0.83471236658,1.847826087,0.59891808341
2006-10-01,8.3555555555,-3.534168565,5.9888097014,8.4714202867,9.347368421,11.973392461,8.347010551,-0.40816326527,-6.0416666666,-4.6666666667,4.3192488265,-3.409090909,7.3871409029,7.1132023249,8.6033519554,8.3348699982,16.455696202,4.520396913,5.9374230106,-0.95391953218,7.2580645161,4.9669684366,7.4635919493,12,16.870605997,7.7176328568
